created_at,Python,C++,Q#,Julia,Javascript,Rust,Openqasm,F#,Lisp,Java
2012-03-31,1,0,0,0,0,0,0,0,0,0
2012-06-30,3,0,0,0,0,0,0,0,0,1
2012-09-30,4,0,0,0,0,0,0,0,0,1
2012-12-31,8,0,0,1,0,0,0,0,0,1
2013-03-31,11,0,0,1,0,0,0,0,0,1
2013-06-30,12,0,0,1,0,0,0,0,0,1
2013-09-30,20,0,0,2,0,0,0,0,0,1
2013-12-31,26,0,0,2,0,0,0,0,1,1
2014-03-31,30,2,0,2,2,0,0,0,1,1
2014-06-30,69,2,0,3,3,0,0,0,1,1
2014-09-30,146,2,0,4,4,0,0,0,1,1
2014-12-31,201,5,0,4,6,0,0,0,1,1
2015-03-31,275,6,0,4,7,0,0,0,1,1
2015-06-30,364,6,0,5,9,0,0,0,1,1
2015-09-30,422,8,0,6,11,0,0,0,1,1
2015-12-31,481,13,0,8,14,0,0,0,1,1
2016-03-31,550,15,0,9,17,0,0,1,1,1
2016-06-30,636,17,0,10,29,0,0,11,1,1
2016-09-30,706,20,0,16,31,0,0,15,1,1
2016-12-31,775,25,0,19,33,0,0,27,1,1
2017-03-31,922,130,0,23,39,0,0,39,1,1
2017-06-30,1089,154,0,28,45,0,0,42,1,1
2017-09-30,1319,181,0,33,49,0,0,53,1,1
2017-12-31,1672,205,0,37,56,0,0,61,1,1
2018-03-31,2002,228,0,44,64,0,0,63,1,4
2018-06-30,2370,252,1,52,72,0,0,68,1,7
2018-09-30,2839,282,124,72,88,0,1,69,1,7
2018-12-31,3308,314,170,87,97,0,2,71,1,8
2019-03-31,3768,376,237,99,121,0,3,72,9,12
2019-06-30,4266,439,271,107,137,1,13,75,23,14
2019-09-30,4726,493,311,128,150,1,15,76,31,15
2019-12-31,5215,550,371,133,159,1,17,81,33,21
2020-03-31,5811,630,439,146,172,3,24,81,40,22
2020-06-30,6496,732,573,160,190,3,32,81,41,28
2020-09-30,7166,807,676,166,206,3,37,83,44,29
2020-12-31,7812,887,746,182,224,3,43,84,48,32
2021-03-31,8498,954,818,193,232,15,49,90,54,34
2021-06-30,9417,1034,875,206,242,19,58,90,57,37
2021-09-30,10160,1096,933,223,250,25,63,92,57,40
2021-12-31,10804,1161,966,239,260,36,74,93,58,43
2022-03-31,11505,1240,1027,258,269,43,80,96,64,46
2022-06-30,12360,1319,1058,274,277,50,86,96,68,47
2022-09-30,13060,1372,1096,287,280,54,91,98,69,47
2022-12-31,13786,1427,1116,306,286,55,99,98,70,50
2023-03-31,14466,1522,1165,320,294,66,104,100,70,53
2023-06-30,15353,1636,1197,339,300,81,114,100,71,56
2023-09-30,16053,1753,1218,364,306,93,123,100,74,57
2023-12-31,16726,1870,1238,394,314,113,130,100,76,59
2024-03-31,17474,1952,1273,401,320,153,138,100,78,60
2024-06-30,18239,2088,1285,409,324,189,148,100,78,61
2024-09-30,18946,2182,1299,429,332,212,161,100,78,62
