created_at,qiskit,cirq,qutip,amazon-braket-sdk,pennylane,q#,openfermion,pyquil,openqasm3,IBMQuantumExperience
2012-03-31,0,0,1,0,0,0,0,0,0,0
2012-09-30,0,0,2,0,0,0,0,0,0,0
2012-12-31,0,0,6,0,0,0,0,0,0,0
2013-03-31,0,0,9,0,0,0,0,0,0,0
2013-06-30,0,0,10,0,0,0,0,0,0,0
2013-09-30,0,0,16,0,0,0,0,0,0,0
2013-12-31,0,0,22,0,0,0,0,0,0,0
2014-03-31,0,0,26,0,0,0,0,0,0,0
2014-06-30,27,27,35,27,0,0,0,0,0,0
2014-09-30,96,96,42,96,0,0,0,0,0,0
2014-12-31,146,146,45,146,0,0,0,0,0,0
2015-03-31,208,208,50,208,0,0,0,0,0,0
2015-06-30,287,287,55,287,0,0,0,0,0,0
2015-09-30,333,333,60,333,0,0,0,0,0,0
2015-12-31,376,376,68,376,0,0,0,0,0,0
2016-03-31,427,427,75,427,0,0,2,0,0,0
2016-06-30,484,483,86,483,0,0,2,0,0,0
2016-09-30,525,524,90,524,0,0,4,0,0,0
2016-12-31,564,563,96,563,0,0,4,0,0,0
2017-03-31,618,608,108,608,0,0,6,12,7,0
2017-06-30,693,646,130,646,0,0,7,38,18,0
2017-09-30,820,678,160,678,0,0,10,59,28,1
2017-12-31,974,704,190,703,0,0,72,81,33,1
2018-03-31,1148,723,216,721,0,0,92,102,45,2
2018-06-30,1296,744,239,741,1,1,117,128,58,7
2018-09-30,1480,873,262,763,1,124,138,153,74,9
2018-12-31,1655,934,291,782,18,170,156,191,88,11
2019-03-31,1867,992,332,802,38,237,170,215,93,11
2019-06-30,2091,1041,356,818,58,271,181,255,100,11
2019-09-30,2310,1104,392,836,81,311,201,275,106,47
2019-12-31,2567,1165,420,846,110,371,212,296,119,84
2020-03-31,2807,1320,474,857,139,439,228,323,129,121
2020-06-30,3079,1458,530,873,177,573,304,339,140,154
2020-09-30,3389,1558,583,891,217,676,340,358,158,200
2020-12-31,3639,1673,644,923,299,746,380,373,187,222
2021-03-31,3867,1798,731,957,361,818,409,387,208,240
2021-06-30,4221,1940,823,985,435,875,447,404,237,271
2021-09-30,4580,2049,880,1017,498,933,483,413,261,289
2021-12-31,4834,2147,952,1062,566,966,513,427,283,302
2022-03-31,5123,2252,1028,1081,630,1027,549,436,303,318
2022-06-30,5503,2380,1113,1130,738,1058,598,450,334,349
2022-09-30,5845,2483,1166,1156,802,1096,627,459,353,377
2022-12-31,6184,2571,1221,1217,891,1116,670,480,384,409
2023-03-31,6490,2663,1292,1263,975,1165,724,493,407,443
2023-06-30,6895,2799,1375,1329,1060,1197,772,529,430,466
2023-09-30,7237,2916,1457,1366,1114,1218,808,548,458,477
2023-12-31,7574,3015,1510,1397,1186,1238,847,560,476,486
2024-03-31,7917,3125,1597,1448,1298,1273,893,578,497,503
2024-06-30,8251,3238,1674,1502,1393,1285,942,596,537,514
2024-09-30,8561,3338,1743,1525,1464,1299,979,610,561,530
