period,new_repos,updated_repos,total_repos,total_updates
2012-03-31,2,0.0,2,0.0
2012-06-30,3,0.0,5,0.0
2012-09-30,1,0.0,6,0.0
2012-12-31,4,0.0,10,0.0
2013-03-31,3,2.0,13,2.0
2013-06-30,1,1.0,14,3.0
2013-09-30,10,4.0,24,7.0
2013-12-31,8,5.0,32,12.0
2014-03-31,7,2.0,39,14.0
2014-06-30,40,30.0,79,44.0
2014-09-30,80,76.0,159,120.0
2014-12-31,60,53.0,219,173.0
2015-03-31,77,70.0,296,243.0
2015-06-30,91,88.0,387,331.0
2015-09-30,64,56.0,451,387.0
2015-12-31,68,52.0,519,439.0
2016-03-31,74,70.0,593,509.0
2016-06-30,110,93.0,703,602.0
2016-09-30,84,77.0,787,679.0
2016-12-31,92,68.0,879,747.0
2017-03-31,276,225.0,1155,972.0
2017-06-30,209,164.0,1364,1136.0
2017-09-30,275,224.0,1639,1360.0
2017-12-31,392,331.0,2031,1691.0
2018-03-31,366,291.0,2397,1982.0
2018-06-30,418,352.0,2815,2334.0
2018-09-30,662,537.0,3477,2871.0
2018-12-31,573,460.0,4050,3331.0
2019-03-31,645,486.0,4695,3817.0
2019-06-30,656,510.0,5351,4327.0
2019-09-30,598,462.0,5949,4789.0
2019-12-31,635,574.0,6584,5363.0
2020-03-31,788,629.0,7372,5992.0
2020-06-30,978,969.0,8350,6961.0
2020-09-30,881,1003.0,9231,7964.0
2020-12-31,845,755.0,10076,8719.0
2021-03-31,865,745.0,10941,9464.0
2021-06-30,1098,1026.0,12039,10490.0
2021-09-30,903,893.0,12942,11383.0
2021-12-31,788,939.0,13730,12322.0
2022-03-31,889,920.0,14619,13242.0
2022-06-30,1005,960.0,15624,14202.0
2022-09-30,807,746.0,16431,14948.0
2022-12-31,833,824.0,17264,15772.0
2023-03-31,859,927.0,18123,16699.0
2023-06-30,1077,999.0,19200,17698.0
2023-09-30,873,872.0,20073,18570.0
2023-12-31,862,1012.0,20935,19582.0
2024-03-31,910,1219.0,21845,20801.0
2024-06-30,939,1162.0,22784,21963.0
2024-09-30,826,1647.0,23610,23610.0
