author_date,files_changed,insertions,deletions
2008-03-31 00:00:00+00:00,252,11007,537
2008-06-30 00:00:00+00:00,1253,27169,4791
2008-09-30 00:00:00+00:00,1926,23211,4552
2008-12-31 00:00:00+00:00,1659,6334,5161
2009-03-31 00:00:00+00:00,1443,10361,5342
2009-06-30 00:00:00+00:00,1308,11610,5285
2009-09-30 00:00:00+00:00,3336,38914,17943
2009-12-31 00:00:00+00:00,7388,224093,151141
2010-03-31 00:00:00+00:00,6797,106479,66085
2010-06-30 00:00:00+00:00,3744,28144,45270
2010-09-30 00:00:00+00:00,5329,58660,46481
2010-12-31 00:00:00+00:00,4404,188862,5260
2011-03-31 00:00:00+00:00,2978,168447,19749
2011-06-30 00:00:00+00:00,11513,679761,109151
2011-09-30 00:00:00+00:00,3424,44941,22705
2011-12-31 00:00:00+00:00,7216,92376,56630
2012-03-31 00:00:00+00:00,6902,83438,38321
2012-06-30 00:00:00+00:00,6811,87412,91376
2012-09-30 00:00:00+00:00,3469,75007,40801
2012-12-31 00:00:00+00:00,4002,63458,45720
2013-03-31 00:00:00+00:00,10088,131420,65556
2013-06-30 00:00:00+00:00,7232,91850,47269
2013-09-30 00:00:00+00:00,12804,217490,152258
2013-12-31 00:00:00+00:00,4480,188304,53968
2014-03-31 00:00:00+00:00,5531,100407,82774
2014-06-30 00:00:00+00:00,11208,202999,70169
2014-09-30 00:00:00+00:00,38928,2840559,133527
2014-12-31 00:00:00+00:00,96210,1142761,932841
2015-03-31 00:00:00+00:00,29721,438729,234406
2015-06-30 00:00:00+00:00,25835,181895,105101
2015-09-30 00:00:00+00:00,11605,148403,84345
2015-12-31 00:00:00+00:00,38602,918752,139572
2016-03-31 00:00:00+00:00,34826,1493603,711868
2016-06-30 00:00:00+00:00,63724,10934893,5484918
2016-09-30 00:00:00+00:00,38969,2838927,2988852
2016-12-31 00:00:00+00:00,70735,1867824,1299698
2017-03-31 00:00:00+00:00,50282,1201347,516907
2017-06-30 00:00:00+00:00,87193,2786804,1200789
2017-09-30 00:00:00+00:00,106139,3867278,1999002
2017-12-31 00:00:00+00:00,174611,10628923,1760134
2018-03-31 00:00:00+00:00,117263,3141069,1913233
2018-06-30 00:00:00+00:00,150899,6318924,4152854
2018-09-30 00:00:00+00:00,277681,14791321,9297127
2018-12-31 00:00:00+00:00,228724,9057962,3021509
2019-03-31 00:00:00+00:00,313402,12795746,3081506
2019-06-30 00:00:00+00:00,376574,41886003,7052531
2019-09-30 00:00:00+00:00,399943,15046029,7667745
2019-12-31 00:00:00+00:00,629069,31698650,35349478
2020-03-31 00:00:00+00:00,437324,13809498,9416176
2020-06-30 00:00:00+00:00,609489,13071901,9510972
2020-09-30 00:00:00+00:00,953615,60879322,12064221
2020-12-31 00:00:00+00:00,551651,11025561,4960760
2021-03-31 00:00:00+00:00,446320,28957680,16784613
2021-06-30 00:00:00+00:00,1764847,26503811,7543228
2021-09-30 00:00:00+00:00,1203590,22229089,5036579
2021-12-31 00:00:00+00:00,1129132,19314297,26395575
2022-03-31 00:00:00+00:00,1176630,26491974,15478827
2022-06-30 00:00:00+00:00,554146,21737246,13846288
2022-09-30 00:00:00+00:00,324574,18131995,6190547
2022-12-31 00:00:00+00:00,439825,12816278,7954941
2023-03-31 00:00:00+00:00,741065,47735184,11388444
2023-06-30 00:00:00+00:00,436994,22653768,12096685
2023-09-30 00:00:00+00:00,459497,19653575,9636350
2023-12-31 00:00:00+00:00,442087,107903760,22095979
2024-03-31 00:00:00+00:00,1764756,757898801,222443543
2024-06-30 00:00:00+00:00,610077,57967171,39649485
2024-09-30 00:00:00+00:00,581824,613637036,509146467
